x,y,z
-15.813593098,2.602919136,3.842426634
-15.388984972,7.337696784,-2.753773082
5.958456069,-8.544997418,-3.508275268
-12.420313690,7.223813249,2.263111510
5.500803686,2.690223158,-1.649912430
0.955579761,-0.326366373,3.608918763
-1.557060682,4.444622527,-1.130775245
14.464448332,6.342701776,3.935085788
-9.280550626,6.666932328,-0.184077134
0.318991883,0.752365747,-3.265276667
12.956643984,1.879110581,-3.157547863
8.127941091,-6.958168520,-0.950013959
5.763905973,-0.625277827,-3.480243503
4.156906277,-2.398898997,-0.949288457
-11.459643701,-5.689578680,3.944712039
3.551144969,1.573647037,2.247806867
-3.959679270,-6.225116447,0.857327621
-3.235615758,-1.737794597,-3.297352126
-2.689226619,-8.065149910,3.215655374
-4.255102436,3.875723631,0.706638877
-2.035090989,-2.907876622,-3.744472476
5.256172931,-7.209817581,-2.121583271
15.602875979,-2.234915666,-1.100030547
6.456274985,-4.144547490,-1.054482164
-6.545757011,3.515832960,-3.381734631
-4.049075919,8.950734756,1.127614464
-0.844891478,-3.794478409,-3.818591150
13.922786562,7.574450283,3.828125008
-0.697733804,1.679250372,-1.688022380
11.165527488,1.487783195,-1.626618889
-6.967989474,-2.587868456,1.365563408
9.165377799,-7.132854777,3.431085730
8.606418821,5.487769508,-2.419718535
-12.142287868,4.215830982,3.511720509
-5.211201560,-7.200008595,-1.387609369
11.483353648,5.827520419,-2.125161755
-11.733562122,-0.081240795,-1.435729292
11.922480172,-0.630446133,-2.185856333
-2.363925643,-4.992962037,1.631146662
16.048882115,1.951975206,-2.099460633
10.609914694,-2.432784603,-3.294774024
-11.773763808,-2.324133962,2.678853397
-9.293395844,5.084661347,-3.341097069
11.547471834,3.869763451,-3.293844428
-15.559140837,-4.473591627,-2.566183439
5.010581049,-0.521292023,0.584470896
-7.303710130,8.610617588,-3.183003544
5.539898341,0.567309959,3.919000261
15.465094622,-0.366750491,-0.415938859
-4.873426234,-5.906764117,1.454745006
13.152733487,-0.428439548,3.340844308
-8.665005792,-4.192532747,3.641113080
14.261165631,0.222919230,0.406268986
