path,size_bytes,sha256
artifact_verification.json,1544,593f6d95b26fe17a288477a777e5ad51682f4c2b6777e9616a4d523b323dd4b9
backend_binding.json,1115,dca8e8b70b31567bf5bcc801233dbdb995b3b5197939555b0365ab4556432a32
backend_free_probe_report.json,4388,a0b14472f3f07ccc40a754acba8b0b454a1f67ddf20f9644be4ac40eb04d09f4
canonical_snapshot_index_contract.json,335,d47f01b1fca809b4e5463815d968acd10a5f577ac5fa07ed1397aedb763e9b23
execution_context_contract.json,8274,fd0e375685846dfa4a974a4e5b00e6d2706de1cfd79dc3f7e7649a4768466021
failure_classification_contract.json,714,6ba787e39cae610101ec3f28220206cb09d062cc8026d467beefe8288ccf6561
final_decision.json,2410,fb69e2a09adeb1bc2d9dd79a4a6b8bc15ae10d7394264e5f4d1a886932bdc2ad
forensic_root_cause_binding.json,1026,befa066598a4265782eacde4007e34f2f21f9bf11176fb7012b1e4ad97ec4611
formal_plan_bridge_static_audit.json,586,0ed8909b9d5fe82900be5686dc53f168484b5e7098fe73f9bdb344bf70c17fda
formal_qualification_isolation_contract.json,1075,f182d5e9ea3140742bd403a1f57f7b3fcdf36412d9d67b0f782bdfd80da5bc5c
formal_validation_semantics_equivalence.json,2129,43a6ce3c2f3422d99ca8973148c205150b8107fcf871d5f38106d1bf7befb562
fresh_resume_report.json,594,d0d961f42d1a57426c884825c01a922f07208647993bacd590bfbfee9aef646e
frozen_model_binding.json,424,248642b2518cf255c405f4d8e814424b50a6b102a733fa84c175455108ec8df7
gate_binding.json,325,3c68a71848232c8dcbbd63f519dbf6027fabf2b99d80739ef99018c3e951327c
h1_h6_semantics_binding.json,600,d0a028319fe6a43f81c38c69b61e21f947ac2d32b90892c0ba1c152d21ee3d1e
implementation_manifest.json,4495,80c8d819b2aa754e2bb7cfbc9d38a1cd784586bf32d8846859b56af45153c82f
negative_case_matrix.csv,6158,7f15370e8bf2268a1da69d2c96d26f662c1837b744f95c15398d5a3a69cae1d3
plan_binding.json,627,5b4a677b3095c8d4a86afb11f9acec772b4abd3175b9a3c8dac9ebb9a5a2b359
primary_independent_difference.json,896,0dd17cac4a89bfc90fca8abae4a3a37b2a9f7d60fb19c32959280b58f0756d35
protocol_binding.json,319,7a7d00d8ed45ab6b4df22add3e92650356fe7f50bc8094bfce6e9e56f99a1f81
publisher_inventory.json,669,607e892e08c327cb13b6a22b0469dc99d1f3c8bb7a5672208b4e2fbee7468aee
qualification_report.md,1385,9f349cb03b066ebc021b0b2a3a8496f88b8a477bafd180d58e9b590b5532df9a
run_manifest.json,2056,85d61568e008efef61a34b4cd30ea2c3f8d14dbb84d55928cb3dafdb1794fe87
seed_free_backend_fixture_report.json,11789,caeec23a5b1996297e6ebe030988e07c9fcb41b60c72283a94cbeb66f76e7807
seed_schedule_binding.json,486,40c2a6b53ad14f138311fd2d31e79ec3efb64f494ec9d0fe82c48bd407175759
shared_identity_field_contract.json,616,3df342e57179871de91b286b62d4957d3980821dbf14d0b194ba0fba38477842
test_report.json,6440,a2a8ce818e5b74ae84e7c28a405744635c058556b2f652d20e14933a6e22f582
trial_snapshot_bridge_contract.json,985,e021778baa3dfa9c4f3bae345ee3eb3079133bbd51d12db4e51e7f934278a3d4
unmocked_execution_path_report.json,751,945f1b2be2b3be7f89bc8e92830d4ef4b78ad194e65dee704be26aa6df9e9750
v3_failure_binding.json,1445,a954b89dc0680746e6ff06b40e4ed50b0115ad3f62a50d8aabc306c853dbc26d
v3_seed_retirement.json,724,e4718b1386f77afe916b8af69275046e5829d308c8c3731485a559e04112c320
