plane_id,frame_start,frame_end,nx,ny,nz,qx,qy,qz,semantic,ux,uy,uz,vx,vy,vz,half_u,half_v,sampling_weight,is_axial_support
oc_plane_00,0,59,1.000000000,0.000000000,0.000000000,-9.709297749,-1.497207224,2.461561919,open_control_plane,0.000000000,-1.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_01,0,59,-1.000000000,0.000000000,0.000000000,-7.686608622,5.684031564,-3.138935488,open_control_plane,0.000000000,1.000000000,-0.000000000,-0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_02,0,59,0.000000000,1.000000000,0.000000000,-2.162316550,6.098979898,-2.410681919,open_control_plane,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_03,0,59,0.000000000,-1.000000000,0.000000000,-6.709641001,-2.823223191,-2.305054773,open_control_plane,-1.000000000,0.000000000,0.000000000,-0.000000000,-0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_04,0,59,0.000000000,0.000000000,1.000000000,14.308874852,1.028025343,2.765622638,open_control_plane,0.000000000,1.000000000,0.000000000,-1.000000000,0.000000000,0.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_05,0,59,0.000000000,0.000000000,-1.000000000,1.173390426,-4.527743685,-1.886056604,open_control_plane,0.000000000,-1.000000000,0.000000000,-1.000000000,-0.000000000,-0.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_06,0,59,0.577350269,0.577350269,0.577350269,15.182250617,-5.229802315,-3.921927331,open_control_plane,0.707106781,-0.707106781,0.000000000,0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_07,0,59,0.577350269,0.577350269,-0.577350269,4.281774545,-2.893865066,-0.296436053,open_control_plane,0.707106781,-0.707106781,0.000000000,-0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_08,0,59,0.577350269,-0.577350269,0.577350269,-12.521464966,-0.224727777,-2.791196851,open_control_plane,-0.707106781,-0.707106781,0.000000000,0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_09,0,59,0.577350269,-0.577350269,-0.577350269,4.438026540,-8.874611641,0.679630973,open_control_plane,-0.707106781,-0.707106781,0.000000000,-0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_10,0,59,-0.577350269,0.577350269,0.577350269,2.726033392,1.648039726,1.437849784,open_control_plane,0.707106781,0.707106781,-0.000000000,-0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_11,0,59,-0.577350269,0.577350269,-0.577350269,-4.316624206,3.863094198,2.405067575,open_control_plane,0.707106781,0.707106781,-0.000000000,0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_12,0,59,-0.577350269,-0.577350269,0.577350269,13.417320600,1.229485304,3.583884318,open_control_plane,-0.707106781,0.707106781,0.000000000,-0.408248290,-0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_13,0,59,-0.577350269,-0.577350269,-0.577350269,11.109274079,1.284367672,-3.805386094,open_control_plane,-0.707106781,0.707106781,0.000000000,0.408248290,0.408248290,-0.816496581,1000.000000000,1000.000000000,1.000000000,0
oc_plane_14,0,59,0.707106781,0.707106781,0.000000000,8.418672083,-2.963694937,2.158808988,open_control_plane,0.707106781,-0.707106781,0.000000000,0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_15,0,59,-0.707106781,-0.707106781,0.000000000,-1.015949484,-8.528116479,-3.778093042,open_control_plane,-0.707106781,0.707106781,0.000000000,-0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_16,0,59,0.707106781,-0.707106781,0.000000000,-12.595554255,-7.846777666,-3.855295655,open_control_plane,-0.707106781,-0.707106781,0.000000000,0.000000000,-0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
oc_plane_17,0,59,-0.707106781,0.707106781,0.000000000,-2.055263859,-0.506748016,-1.371425375,open_control_plane,0.707106781,0.707106781,-0.000000000,-0.000000000,0.000000000,-1.000000000,1000.000000000,1000.000000000,1.000000000,0
