relative_path,size_bytes,sha256,semantic_role
docs/full_synthetic_development_protocol_v1.md,9558,5538643ee2d187dc9a2adf8d5ae05d5ce50b19e31b541d7225524ac54c9857e2,development_protocol_documentation
frozen_assets/full_synthetic_development_combined_snapshots_v1.csv,206429,21b092457ffc852b1cb5ab028c607e62056774beafc0656c41dc767e296e2e9c,snapshot_inventory
frozen_assets/full_synthetic_development_combined_trials_v1.csv,744684,29525873b2c25737974935b26378e12da26cdce9082f01c999c6d144ad9355b8,trial_inventory
frozen_assets/full_synthetic_development_manifest_v1.json,22585,4c649552d12b566210508f6a9491704dde9919a4471c030f897c111226a9def3,development_manifest
frozen_assets/full_synthetic_development_protocol_v1.json,15971,925c4e87217cc0fb8ff26dbb717e8e05ad87ea8d6863483f57daa2566e16e051,development_protocol
frozen_assets/full_synthetic_development_snapshot_lock_v1.json,1322619,f1aced1b863164e5a96a67618b27f2f9e22dea7cf2181650f61b6940846de283,snapshot_lock
results/full_synthetic_development_v1/attempt_events.ndjson,1649592,6108f199b7cd911fb36253b8c8135f83d004ee2fbb54f990058684957012971b,formal_attempt_event_log
results/full_synthetic_development_v1/common_association_metrics.json,4546771,ec578be84b3cd62c5a000362927f9e7d7a5cb604f5f7936a09d508a3fc1fd6a4,frozen_common_association_metrics
results/full_synthetic_development_v1/independent_verification.json,12821945,5af2325168dbfecc61d56bb4682f14858ce551c0515764452122ce1479f5e3fb,frozen_independent_verification
results/full_synthetic_development_v1/phase_b_subset_reproduction.json,1250,811933cd617c2cbb0b3bd81101850bf6e16f65d22b0d8e1c865993064ca127b8,phase_b_subset_reproduction_evidence
results/full_synthetic_development_v1/primary_analysis.json,16870296,0ba42a4d39695d2a5c65ebedeba0bb585bfbc3eb1361a90d488eba8c132ad6b8,frozen_primary_analysis
results/full_synthetic_development_v1/raw_result_manifest.json,898436,7141c3de3ad8522954f57e7aad6608a1bf3b410c50172c438c95206c0f0234a8,raw_result_inventory
results/full_synthetic_development_v1/raw_results/000497b785e3bf27c4f6120ab4989a933206b0554dd9b3732eefb6dba72e83e4.json,2080,a2bd2ded588a171ccfe59bfd57890ccbdee231d048ae079aa4a591a920db12db,raw_trial_result
results/full_synthetic_development_v1/raw_results/002b34ccfd3fd75ba7400c740f74e0144e288324c9ad93c28b80e5188072c96c.json,2636,77f81c2c24dfb18bf83646342252b6649498c5c052c0e949e4602fd6e31455a2,raw_trial_result
results/full_synthetic_development_v1/raw_results/002b9374ea27436a06b41ab9ac29fad64c3f9b7f29fb926a9de50e2ac0a867ae.json,2040,6587fcf847b93a4507eaca6302a46703ffb46d119972768aafda317a18275470,raw_trial_result
results/full_synthetic_development_v1/raw_results/004ef1660722b4cc7f0e43f0edbae8540f45674dbb4dad4976ae7880d0dfbf87.json,2667,959bec10e1558783601b679a5e256e104ba209404b9272510d20f5e6bbdf75a5,raw_trial_result
results/full_synthetic_development_v1/raw_results/005dc92b20d5c9fe585b04c65091511e81cf5e3d1623b61830a42fdb8031bc69.json,2680,438e42dffc7a7e9fc96b464792f5e8c2f0ae110ca1764434f0af46f1f8488a6a,raw_trial_result
results/full_synthetic_development_v1/raw_results/006cb06005ea4db404ad0a627118b443ad29164a7808cd09e7a8e19d4e29870f.json,2027,f5400541f554761378b8c507251c2f541d654b4bcb0a1c37f6211b81ac2e4910,raw_trial_result
results/full_synthetic_development_v1/raw_results/00933f160374b6b822304ff13ad690dce70a61e95f0af45d43f7820e07ab93c3.json,2664,a8f04052c96cd5d482419fa2612c9a843b2f7c00016cc379a4a07a0578b22c40,raw_trial_result
results/full_synthetic_development_v1/raw_results/00a929804c74534fa1d79d75a9312e660216986add1ec597faa85563615a0b34.json,2655,8a10200cdf9d1a8fce0343e1dda385df4e6f1cd81ec7d4592945cba8304c1c7b,raw_trial_result
results/full_synthetic_development_v1/raw_results/00ccdbba0f515f33d053bb9320fcf98c5b62cca0baf0b22f4ade88c5cc2be657.json,2061,7dfd9c0e4f29ffb954587772f33c7c1534435ecaa8ca35260a220823ce3f7a9c,raw_trial_result
results/full_synthetic_development_v1/raw_results/00fb63bb8ae326609f2ffa8bdfc8c62fef5cc9bbd5d493f03228cc6be432f3e9.json,2673,216f531a52a3a68968f4fbb817733c7a8bf4c2584c1fa7b7d047af9113eb9a02,raw_trial_result
results/full_synthetic_development_v1/raw_results/011600c1ea6b9e847a42212b39a3360c7456396a431b4c7e6084e40bf1e73e74.json,2696,e2ba6908ab31027c706485dab501d346d18f5d218accb723eecbd470b44eb280,raw_trial_result
results/full_synthetic_development_v1/raw_results/012f4d7bf3245df1d784dda830d2d541910f6c00a25229f908d55d01405a6912.json,2695,acdd0b9e31cc29dde89c1a29b7066e2247c6850a245388350843ee58324fa5af,raw_trial_result
results/full_synthetic_development_v1/raw_results/01332157f4f502bbb6e405c8200833186dd714aa84dd5bbec134f1586075ef35.json,2662,529004bae4b7ef3cbb9a76a23a6f81f7210fe4010d0584f4efd16dedf363586d,raw_trial_result
